Name,Distance,Rating,Votes,Address,OriginFile
Jay Ambika Dhanya Bhandar Near station Mahalaxmi,0.74 KM,,0 Votes,"a-9,rangwala Bldg, Dr.E.Moses Road, Mahalaxmi, Mumbai - 400011, Near station",Agripada
Shubh Prabhat Dhanay Bhandar,0.74 KM,2.0,2 Votes,"Shop No.A11, Rangwala Biulding, Sant Gardko Maharaj Chowk, Shahir Amar Sheikh Marg, Mumbai - 400011",Agripada
Kastur General stores Jacob Circle Mahalaxmi,0.75 KM,,0 Votes,"Shop no 10, Naya waala Chal, Mahalaxmi, Mumbai - 400011, Jacob Circle",Agripada
Prakash Dhanya Bhandaar Saatrasta Mahalaxmi,0.75 KM,,0 Votes,"Rangwala Building, Shahir Amar Sheikh Marg, Mahalaxmi, Mumbai - 400011, Saatrasta",Agripada
Coco General Store Dhobi Ghat Saat Rasta Mahalaxmi,0.76 KM,,0 Votes,"Shop No 1, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Dhobi Ghat Saat Rasta",Agripada
Ranouk kirana store Mahalaxmi,0.76 KM,,0 Votes,"aisha apartment, maulana azad street, Mahalaxmi, Mumbai - 400011",Agripada
J V General Store Near church Mahalaxmi,0.76 KM,,0 Votes,"2,shiv darshan Bldg, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011, Near church",Agripada
Amol General Store Near Agustiyan Church Mahalaxmi,0.76 KM,,0 Votes,"Shop No 1,Rasul Compound, K K Marg, Mahalaxmi, Mumbai - 400011, Near Agustiyan Church",Agripada
Shri Mahalaxmi Provision and general Stores Jacob Circle Mahalaxmi,0.76 KM,,0 Votes,"K.K.Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle",Agripada
Ekvira Ice Cream Cold Drink Center Near Agustiyan Church Mahalaxmi,0.77 KM,,0 Votes,"Shivdarshan, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011, Near Agustiyan Church",Agripada
Kaveri General Stores Gate no 3 dhobhighat Mahalaxmi,0.82 KM,,0 Votes,"Shop no 3,, Dr. E Moses road, Mahalaxmi, Mumbai - 400011, Gate no 3, dhobhighat",Agripada
Ganesh General Kirana Stores Opposite Kasturba Hospital Satrasta Mahalaxmi,1.08 KM,,0 Votes,"Shop No 2, Siddhivinayak Darshan Apartment, J R Baricha Marg, Mahalaxmi, Mumbai - 400011, Opposite Kasturba Hospital, Satrasta",Agripada
Elfa Bakery General Stores Opposite Kasturba Hospital Mahalaxmi,1.08 KM,,0 Votes,"J R Baricha Marg, Mahalaxmi, Mumbai - 400011, Opposite Kasturba Hospital",Agripada
