Name,Distance,Rating,Votes,Address,OriginFile
Get Well Medical General Store Near ZAF Fitness Club Andheri West,1.1 KM,4.3,15 Votes,"1 B Abhishek Apartment, Juhu Versova Link Road, Andheri West, Mumbai - 400053, Near ZAF Fitness Club",AndheriWest
Kishor Supermarket Lokhandwala Complex Andheri West,1.98 KM,3.7,48 Votes,"Shop No B5, Rna Shopping Centre, 4th Cross Lane, Lokhandwala Complex-Andheri West, Mumbai - 400053",AndheriWest
Alfa General Store Andheri West,1.47 KM,4.4,5 Votes,"Shop No 18, Juhu Lane, Andheri West, Mumbai - 400058",AndheriWest
Valaji General Stores Near Infinity Mall Lokhandwala Complex Andheri West,1.53 KM,4.0,13 Votes,"Shop No.7-B, Twinkle Apartment, Lokhandwala Complex, Lokhandwala Complex-Andheri West, Mumbai - 400053, Near Infinity Mall",AndheriWest
Alfa Medical And General Stores Near Tashkant Bakery Andheri West,1.55 KM,4.2,24 Votes,"Akwg 345, Wireless Road, Juhu Galli, Andheri West, Mumbai - 400058, Near Tashkant Bakery",AndheriWest
Shivtirth Medical General Store Opposite ICICI Bank Andheri West,0.59 KM,3.9,31 Votes,"Shop No 10, Flowerqueen Building, Veera Desai Road, Andheri West, Mumbai - 400053, Opposite ICICI Bank",AndheriWest
Liberty General Stores Near DN Nagar Metro Station Andheri West,0.45 KM,3.6,12 Votes,"Shop No 2, Kanchanganga , Manish Nagar, 4 Bunglows, Andheri West, Mumbai - 400053, Near DN Nagar Metro Station",AndheriWest
Satyam Store Near Court Yard Resturant Andheri West,0.47 KM,4.2,24 Votes,"Shop No.10, Parul Apartment, Veera Desai Road, Andheri West, Mumbai - 400053, Near Court Yard Resturant",AndheriWest
Care N Cure Medical General Stores Andheri West,0.54 KM,3.5,6 Votes,"Manish Shpng Centre,J P Road, Andheri West, Mumbai - 400053",AndheriWest
Colony Medical General Store D N Ngr Office Bldg 8 1 Andheri West,0.6 KM,4.3,19 Votes,"Shop No 8/1, Ganesh Chowk, Andheri West, Mumbai - 400053, D N Ngr, Office Bldg 8/1",AndheriWest
Ashtavinayak Provision General Stores Near Laxminarayan Temple Andheri West,0.62 KM,3.6,5 Votes,"Shop No 12,Sainath Shopping Centre, Veera Desai Road, Andheri West, Mumbai - 400053, Near Laxminarayan Temple",AndheriWest
Prasad General Store Opposite Mvm School Andheri West,0.85 KM,3.5,9 Votes,"Shop No 3, Sai Shraddha Society, Veera Desai Road, Andheri West, Mumbai - 400058, Opposite Mvm School",AndheriWest
Jagdish Store Navalkar Compound Andheri West,0.96 KM,4.6,47 Votes,"Siddhkuttir Bangla, N Datta Marg, Andheri West, Mumbai - 400053, Navalkar Compound",AndheriWest
Sheetal General Store 4 Bunglow Andheri West,1.02 KM,3.9,7 Votes,"Shop No 11, Navjit Nagar, Juhu Versova Link Road, Andheri West, Mumbai - 400053, 4 Bunglow",AndheriWest
Central Society Medical General Stores Near Joe Helan Ground Andheri West,1.09 KM,4.3,20 Votes,"Shop No 1, Desai Villa, Jay Bhavani Mata Road, Andheri West, Mumbai - 400058, Near Joe Helan Ground",AndheriWest
Shiv Medical General Stores 4 Bungalows Svp Nagar Nr Telephone Exchange Andheri West,1.09 KM,3.6,7 Votes,"57/D-3,Mahada, Andheri West, Mumbai - 400053, 4 Bungalows,Svp Nagar,Nr Telephone Exchange",AndheriWest
Patel General Stores Ramesh Nagar Near 248 Last Bus Stop Amboli Andheri West,1.15 KM,4.4,7 Votes,"Shop No 8, Unique Apartment, Jai Bhavani Mata Road, Amboli-Andheri West, Mumbai - 400058, Ramesh Nagar, Near 248 Last Bus Stop",AndheriWest
Amogh Sai Medical General Store Opposite Navnit Society 32 Bharda Wadi Andheri West,1.16 KM,4.1,10 Votes,"Shop No 1, New Ankur Chs, Bharda Wadi Road, Andheri West, Mumbai - 400058, Opposite Navnit Society, 32 Bharda Wadi",AndheriWest
