Name,Distance,Rating,Votes,Address,Website,OriginFile
Matru Krupa Opposite No 10th Khetwadi Khetwadi girgaon,1.54 KM,4.0,17 Votes,"Shop No. 5, Ground Floor, Siddhesh Darshan, 199/201, Khetwadi Main Road, Khetwadi-girgaon, Mumbai - 400004, Opposite No. 10th, Khetwadi",https://www.justdial.com/Mumbai/Matru-Krupa-Opposite-No-10th-Khetwadi-Khetwadi-girgaon/022PXX22-XX22-120221193547-J8N9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Kumkum Provision Stores Opposite Film Centre Tardeo,1.23 KM,4.0,12 Votes,"Shop No 5, Raheja Excellisor, 57 Tardeo Road, Tardeo, Mumbai - 400034, Opposite Film Centre",https://www.justdial.com/Mumbai/Kumkum-Provision-Stores-Opposite-Film-Centre-Tardeo/022P1304704_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Chedda Chemist General Store Next Garant Road Post Office Grant Road,0.87 KM,4.3,43 Votes,"13 jyoti mahal, Sleater road, Grant Road, Mumbai - 400007, Next Garant Road Post Office",https://www.justdial.com/Mumbai/Chedda-Chemist-General-Store-Next-Garant-Road-Post-Office-Grant-Road/022PXX22-XX22-090526040847-N3N7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Soni Moni Provision Stores Tardeo,1.2 KM,4.3,6 Votes,"Shop No 18 Sahakar Niwas, 20 Tardeo Road, Tardeo, Mumbai - 400034",https://www.justdial.com/Mumbai/Soni-Moni-Provision-Stores-Tardeo/022PXX22-XX22-000067937551-S5I0_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Pramanik Provision Stores Opposite Bhatia Hospital Kailash Nagar Tardeo,1.2 KM,4.4,12 Votes,"658, Tardeo Road, Tardeo, Mumbai - 400007, Opposite Bhatia Hospital, Kailash Nagar",https://www.justdial.com/Mumbai/Pramanik-Provision-Stores-Opposite-Bhatia-Hospital-Kailash-Nagar-Tardeo/022PXX22-XX22-101004134538-V9U4_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Prabhat Stores Malabar Hill,1.5 KM,4.1,58 Votes,"66, Petit Hall, Nepean Sea Road, Navshanti Nagar, Malabar Hill, Mumbai - 400006",https://www.justdial.com/Mumbai/Prabhat-Stores-Malabar-Hill/022PXX22-XX22-170209005611-L2S7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Shah Bhimshi Naiya Opp dariya mall bus stop Walkeshwar,1.71 KM,3.9,20 Votes,"Star Dust Building,shop no 1/a,, 80 Napean Sea Road, Walkeshwar, Mumbai - 400006, opp.dariya mall bus stop",https://www.justdial.com/Mumbai/Shah-Bhimshi-Naiya-Opp-dariya-mall-bus-stop-Walkeshwar/022PXX22-XX22-101207191654-J3M3_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Gala Provision Stores Opposite Sikka Nagar Charni Road,1.81 KM,4.8,5 Votes,"Shop No 6,18/23,Mehta Heights, Sadashiv Lane, Charni Road, Mumbai - 400004, Opposite Sikka Nagar",https://www.justdial.com/Mumbai/Gala-Provision-Stores-Opposite-Sikka-Nagar-Charni-Road/022PXX22-XX22-160504142120-D4W9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Goyam Organic Khotachi Wadi Corner Prarthana Samaj,0.05 KM,4.0,8 Votes,"Shop No. 10, Shri Mahila Samaj Gruh Udyog, Krishvi Heights, V.P.Road , Sikkanagar, Prarthana Samaj, Mumbai - 400004, Khotachi Wadi Corner",https://www.justdial.com/Mumbai/Goyam-Organic-Khotachi-Wadi-Corner-Prarthana-Samaj/022PXX22-XX22-180223144216-X2S6_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Amrut Stores Opposite JK Towers Gamdevi,0.83 KM,3.5,5 Votes,"39-47, Goravakar Wadi, H g Road, Gamdevi, Mumbai - 400007, Opposite JK Towers",https://www.justdial.com/Mumbai/Amrut-Stores-Opposite-JK-Towers-Gamdevi/022PXX22-XX22-000988397138-W1V8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Devji Dhanji Grant Road,0.92 KM,3.7,10 Votes,"Shop No 85, Lokmanya Tilak Market, Grant Road, Mumbai - 400007",https://www.justdial.com/Mumbai/Devji-Dhanji-Grant-Road/022PXX22-XX22-181127123444-A9D4_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Krupa Stores,1.08 KM,5.0,7 Votes,"Navyug Nivas, Ground Floor, A/6, Society, Mumbai - 400007, Lamington Road",https://www.justdial.com/Mumbai/Krupa-Stores/022PXX22-XX22-191116092555-J2U9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEFsdGFtb3VudCBSb2FkIEN1bWJhbGxhIEhpbGw=,Altamound Road
Lucky Stores Opposite Sevenhills Hospital Near Agrwal Sweets Andheri East,1.23 KM,4.1,197 Votes,"Shop No 17, Premavati Anand Compound, Military Road, Andheri East, Mumbai - 400059, Opposite Sevenhills Hospital Near Agrwal Sweets",https://www.justdial.com/Mumbai/Lucky-Stores-Opposite-Sevenhills-Hospital-Near-Agrwal-Sweets-Andheri-East/022P8023890_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
Real Super Market Near Vijay Nagar Opposite Vicent Pollotty Church Andheri East,1.53 KM,4.1,47 Votes,"Shop No 5, Vijay Tower, Marol Marosi Road, Andheri East, Mumbai - 400059, Near Vijay Nagar, Opposite Vicent Pollotty Church",https://www.justdial.com/Mumbai/Real-Super-Market-Near-Vijay-Nagar-Opposite-Vicent-Pollotty-Church-Andheri-East/022PXX22-XX22-121112124955-J8V4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
Colony Stores J B Nagar Andheri East,0.49 KM,4.0,21 Votes,"Shop No 4, 80 Bagadka Chawl, Andheri East, Mumbai - 400069, J B Nagar",https://www.justdial.com/Mumbai/Colony-Stores-J-B-Nagar-Andheri-East/022PF019094_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
Rajwadi Super Stores Near Bagarka College Jb Nagar andheri East,0.42 KM,3.8,62 Votes,"Shop No 1, Narayani Bhavan, Swami Bagarka Road, Jb Nagar-andheri East, Mumbai - 400059, Near Bagarka College",https://www.justdial.com/Mumbai/Rajwadi-Super-Stores-Near-Bagarka-College-Jb-Nagar-andheri-East/022PF017973_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFuZGhlcmkgRWFzdA==,AndheriEast
