Name,Distance,Rating,Votes,Address,Website,OriginFile
New Life Mobile General Store Near Molana Azad School Mahalaxmi,0.28 KM,,0 Votes,"7AO, Hamid Building, 77/C, M A Road, Mahalaxmi, Mumbai - 400011, Near Molana Azad School",https://www.justdial.com/Mumbai/New-Life-Mobile-General-Store-Near-Molana-Azad-School-Mahalaxmi/022PXX22-XX22-150406165358-B5J6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Om Sai General Store Jacob Circle Mahalaxmi,0.29 KM,,0 Votes,"Mala Building Shop No. 76, K.K Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle",https://www.justdial.com/Mumbai/Om-Sai-General-Store-Jacob-Circle-Mahalaxmi/022PXX22-XX22-160301160444-Z7P4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Amul Stores Mahalaxmi,0.32 KM,3.0,2 Votes,"Ragol Jiwa Compound, Shop No.1, Satrasta, Rto Colony, Jacob Circle, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011",https://www.justdial.com/Mumbai/Amul-Stores-Mahalaxmi/022PXX22-XX22-171219220405-C5G5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Aziz General Store,0.41 KM,5.0,2 Votes,"33c , 43d, Green Boil, Royal Appartment, M.A. Road, Mumbai - 400011, Near Jacob Circle",https://www.justdial.com/Mumbai/Aziz-General-Store/022PXX22-XX22-181009042630-X9A9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Gullu General Store,0.46 KM,4.0,2 Votes,"Municipal Patra Chawl No 37 Shop No1, Byculla West, Byculla Station Road, Mumbai - 400011, Behind Coolpoint Chicken Shop, Mazgaon",https://www.justdial.com/Mumbai/Gullu-General-Store/022PXX22-XX22-200626110733-W6M6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Alim Stores Jacob Circle Mahalaxmi,0.49 KM,,0 Votes,"Room No 5, Viajy Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle",https://www.justdial.com/Mumbai/Alim-Stores-Jacob-Circle-Mahalaxmi/022PXX22-XX22-140721115322-L7L2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Alyani Traders,0.5 KM,5.0,1 Votes,"Royal Appartment, Shop No.7,., Narmada Nivas, Saat Rasta, Mumbai - 400011",https://www.justdial.com/Mumbai/Alyani-Traders/022PXX22-XX22-190323094716-W7T5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Kolte Shop Jacob Circle Mahalaxmi,0.57 KM,,0 Votes,"Shop No 10/11 Kashinath Bld, Saat Rasta, Mahalaxmi, Mumbai - 400011, Jacob Circle",https://www.justdial.com/Mumbai/Kolte-Shop-Jacob-Circle-Mahalaxmi/022PXX22-XX22-151130161018-B1U8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Nirmala Shetty Jacob Circle Mahalaxmi,0.59 KM,,0 Votes,"Round Building, B. J. Marg, Mahalaxmi, Mumbai - 400011, Jacob Circle",https://www.justdial.com/Mumbai/Nirmala-Shetty-Jacob-Circle-Mahalaxmi/022PXX22-XX22-140612114358-B1R5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
Riddhi siddhi provision Opp st Church Mahalaxmi,0.62 KM,2.9,13 Votes,"Laxmidas Wadi, Sane Guruji Marg, Mahalaxmi, Mumbai - 400011, Opp.st.Church",https://www.justdial.com/Mumbai/Riddhi-siddhi-provision-Opp-st-Church-Mahalaxmi/022PXX22-XX22-140626133246-H1N2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEFncmlwYWRh,Agripada
